Business ID,Industry,Date Established,Number of Employees,Legal Structure,Location,Tax ID,Average Profit Margin,Ownership,Average Annual Revenue,Average Annual Expenses,Average Profit/Loss,Average Gross Margin,Net Worth,Working Capital,Sales Channels,Average Marketing Budget,Customer Acquisition Cost,Customer Retention Rate,Total Social Media Followers,Advertising Spend,Sales Conversion Rate,Sales Growth Rate,Employee Turnover Rate,Training and Development,Payroll Expenses,Is Active
BID-2014-2824,Retail,2021-03-04,4,Corporation,Ibadan,TIN-2051802512,0.18040181745657843,Family-owned,2258757.597869859,1560427.1585477851,449906.655070765,469877.637294941,38460.96996241774,87286.73384861884,Distributors,48525.58275593772,2801.8564752802426,0.508233797718321,1159,28384.343012985228,0.14016725176148134,0.18322903111841818,0.13668090197068677,209.6055425953426,4727.299868828402,1
BID-2014-9935,Agriculture,2015-02-24,5,Corporation,Jos,TIN-1136505587,0.3581518418043874,Family-owned,1243113.14470864,797889.8823599966,445223.2623486434,418706.6066279058,394736.22108257667,23969.009305044176,Online,30769.69774317048,3658.493771221948,0.5185801650879991,293,16185.49601313276,0.12713516576204176,0.13696582754481698,0.29312640661491185,825.0781137645811,9744.427686266667,0
BID-2014-9279,Fishery,2016-08-10,7,Sole Proprietorship,Enugu,TIN-7635473142,0.3633885295465665,Family-owned,908297.3627922225,578232.5197361326,330064.84305608994,429439.4695008409,136802.1909840083,67939.61701362829,Physical Store,10057.868320750826,294.53436416493076,0.7186841117373118,997,8147.4077077585725,0.09675666141341166,0.10802720847112432,0.27896547008552974,920.9206224155829,13576.492590949323,0
BID-2014-5557,Photography,2020-08-10,2,Sole Proprietorship,Port Harcourt,TIN-8293453178,0.3024009007710207,Investor-backed,172161.30333818277,96403.46117034128,57784.484723258116,61996.41250547597,184809.13007985873,31688.778420301172,Physical Store,4652.9815403087705,470.2310901084773,0.8208787923016159,640,3763.787032609326,0.1314044124737373,-0.043630310010094944,0.10110442342472048,204.3496515773775,2397.4313630683446,1
BID-2014-4527,Photography,2015-09-29,2,Partnership,Abuja,TIN-5693307665,0.29246028143671815,Family-owned,194387.07088147622,137536.5734238204,56850.497457655816,42583.89063894294,162381.33764067446,35892.41559254097,Physical Store,24138.531332935516,8163.861991294734,0.8548850970305306,1549,18955.938324241837,0.15944092675070964,0.15502298854208527,0.21225543951389925,287.63259929480773,3521.570097233795,0
BID-2014-6635,Fishery,2023-07-04,10,Partnership,Lagos,TIN-8429141456,0.3676325719020087,Family-owned,126877.82197380293,62963.11562203723,49538.69011561337,29303.332043901995,259199.63867070436,91218.81502297883,Physical Store,12211.1101090895,933.6284693670668,0.8022204554172194,850,7520.829812864223,0.08739383437233125,0.0641531692142519,0.2859395304685146,982.9695273819904,11612.212872540043,1
BID-2014-5803,Microfinance,2014-11-19,16,Corporation,Kaduna,TIN-1298737106,0.13223230045300657,Family-owned,533230.1737531096,359092.35304492037,67580.80913949314,194006.21932189082,165821.7027362133,15454.932830129292,Physical Store,43175.798579560826,2625.4767820411103,0.8272059063689973,1087,30408.66835423761,0.08419027438129126,0.07084311545050254,0.14442156209414606,671.0415889183065,22678.576050380463,1
BID-2014-4814,Microfinance,2014-11-23,11,Sole Proprietorship,Jos,TIN-6488854841,0.18909431233144663,Investor-backed,1061641.7123995638,860891.3028509888,200750.40954857494,518860.60076891404,133373.32495442842,52238.60805977662,Online,30868.652365014947,932.084274135203,0.5147547789418131,962,16069.958053115872,0.09513174647251546,0.013936197750987048,0.2816531771933307,550.859390863157,14065.111106602724,0
BID-2014-6820,Tailoring,2018-02-25,6,Corporation,Ibadan,TIN-9896606039,0.19835933577823645,Family-owned,627671.8694388182,418462.6630451623,114586.66351336816,218441.93561834196,190213.73503243408,65069.05390639005,Distributors,41929.82228387266,3060.8565990846346,0.5361159080217633,1386,24093.186339423748,0.14502945661413422,0.11430987362990339,0.21817858863764836,463.38524639882684,6244.650849328584,1
BID-2014-5010,Education,2022-03-06,5,Partnership,Jos,TIN-1240251661,0.3476900712985026,Family-owned,1673622.8787294535,853278.099413737,517227.3108739835,629214.667996429,77385.2626315367,37401.303349774564,Physical Store,13639.139758042626,749.4164220506751,0.8509357413523924,1774,11278.052999789103,0.06702102818608836,0.26987744731142516,0.20593011567120129,305.97163279817494,7776.004057997311,1
